Item,Actual Cost,Total Cost,Purchase Link,Project,,Total
M3 Bolts, $0.01 , $9.99 ,https://www.amazon.com/dp/B0C7ZRTH3Q?ref=ppx_pop_dt_b_product_details&th=1,GoodBoy,, $96.68 
Battery, $27.89 , $27.89 ,https://www.amazon.com/dp/B0D9D8ZSV9?ref=ppx_yo2ov_dt_b_fed_asin_title,System,,
Suction Cups, $2.20 , $8.79 ,https://www.amazon.com/dp/B07MDVN2R8?ref=ppx_yo2ov_dt_b_fed_asin_title,Jaco Vacuum,,
Relay, $1.40 , $13.99 ,https://www.amazon.com/dp/B0B4W7VDL7?ref=ppx_yo2ov_dt_b_fed_asin_title,Jaco Vacuum,,
12-5 DC converter, $7.99 , $7.99 ,https://www.amazon.com/dp/B08VHZJ3C8?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,System,,
Vacuum Pump, $36.91 , $36.91 ,https://www.amazon.com/dp/B0983QXGN6?ref=ppx_yo2ov_dt_b_fed_asin_title,Jaco Vacuum,,
Silicon Tube, $9.99 , $9.99 ,https://www.amazon.com/dp/B08JQRD8HS?ref=ppx_yo2ov_dt_b_fed_asin_title,Jaco Vacuum,,
Nema 17, $8.25 , $32.99 ,https://www.amazon.com/dp/B07PNV7RBW?ref_=ppx_hzsearch_conn_dt_b_fed_asin_title_5&th=1,GoodBoy,,
Stepper motor driver, $2.04 , $10.19 ,https://www.amazon.com/your-orders/order-details?orderID=112-0511300-4533845&ref_=ppx_hzsearch_conn_dt_b_fed_order_details_3,GoodBoy,,
Jumper wires,,,,,,
Filament,,,,,,
